temp_ref,unique_study_unit,study_no,question_code,data_source_figure,temp_acclimated,bnf_species,in_assn_w_ps,evolved_amt,symb_free,evolved_symb,other_trt_variable,other_trt_categorical,other_trt_value,notes,response2,temp_K,invkT,invkT_units,temp_C,max_tempC,max_resp,topt_C,pass_topt,bnf_genus,bnf_order,bnf_class,bnf_o2_strategy,habitat1,system
breitbarth_biogeosciences_2007_breitbarth_biogeosciences_2007,1_1,1,mono-pop-tdep,Fig 1b,n,trichodesmium ims-101,y,m,free,free,na,na,na,3 populations (experimental units) are identical and simultaneous replicates,0.056,292.618,39.65752740687081,1/kT(K),19.468000000000018,33.97500000000002,0.095,29.19999999999999,yes,trichodesmium,oscillatoriales,cyanophyceae,spatial,a,na
breitbarth_biogeosciences_2007_breitbarth_biogeosciences_2007,1_1,1,mono-pop-tdep,Fig 1b,n,trichodesmium ims-101,y,m,free,free,na,na,na,3 populations (experimental units) are identical and simultaneous replicates,0.071,295.097,39.32437928797556,1/kT(K),21.947000000000003,33.97500000000002,0.095,29.19999999999999,yes,trichodesmium,oscillatoriales,cyanophyceae,spatial,a,na
breitbarth_biogeosciences_2007_breitbarth_biogeosciences_2007,1_1,1,mono-pop-tdep,Fig 1b,n,trichodesmium ims-101,y,m,free,free,na,na,na,3 populations (experimental units) are identical and simultaneous replicates,0.083,297.667,38.98486011127778,1/kT(K),24.516999999999996,33.97500000000002,0.095,29.19999999999999,yes,trichodesmium,oscillatoriales,cyanophyceae,spatial,a,na
breitbarth_biogeosciences_2007_breitbarth_biogeosciences_2007,1_1,1,mono-pop-tdep,Fig 1b,n,trichodesmium ims-101,y,m,free,free,na,na,na,3 populations (experimental units) are identical and simultaneous replicates,0.093,300.15099999999995,38.66222786112232,1/kT(K),27.000999999999976,33.97500000000002,0.095,29.19999999999999,yes,trichodesmium,oscillatoriales,cyanophyceae,spatial,a,na
breitbarth_biogeosciences_2007_breitbarth_biogeosciences_2007,1_1,1,mono-pop-tdep,Fig 1b,n,trichodesmium ims-101,y,m,free,free,na,na,na,3 populations (experimental units) are identical and simultaneous replicates,0.095,302.34999999999997,38.38103639736638,1/kT(K),29.19999999999999,33.97500000000002,0.095,29.19999999999999,yes,trichodesmium,oscillatoriales,cyanophyceae,spatial,a,na
breitbarth_biogeosciences_2007_breitbarth_biogeosciences_2007,1_1,1,mono-pop-tdep,Fig 1b,n,trichodesmium ims-101,y,m,free,free,na,na,na,3 populations (experimental units) are identical and simultaneous replicates,0.024,307.125,37.78431047535604,1/kT(K),33.97500000000002,33.97500000000002,0.095,29.19999999999999,yes,trichodesmium,oscillatoriales,cyanophyceae,spatial,a,na
breitbarth_biogeosciences_2007_breitbarth_biogeosciences_2007,1_3,1,mono-pop-tdep,Fig 1b,n,trichodesmium ims-101,y,m,free,free,na,na,na,3 populations (experimental units) are identical and simultaneous replicates,0.066,292.577,39.66308477680653,1/kT(K),19.42700000000002,33.923,0.128,26.96199999999999,yes,trichodesmium,oscillatoriales,cyanophyceae,spatial,a,na
breitbarth_biogeosciences_2007_breitbarth_biogeosciences_2007,1_3,1,mono-pop-tdep,Fig 1b,n,trichodesmium ims-101,y,m,free,free,na,na,na,3 populations (experimental units) are identical and simultaneous replicates,0.103,295.061,39.32917720316722,1/kT(K),21.911,33.923,0.128,26.96199999999999,yes,trichodesmium,oscillatoriales,cyanophyceae,spatial,a,na
breitbarth_biogeosciences_2007_breitbarth_biogeosciences_2007,1_3,1,mono-pop-tdep,Fig 1b,n,trichodesmium ims-101,y,m,free,free,na,na,na,3 populations (experimental units) are identical and simultaneous replicates,0.113,297.63399999999996,38.98918253540833,1/kT(K),24.48399999999998,33.923,0.128,26.96199999999999,yes,trichodesmium,oscillatoriales,cyanophyceae,spatial,a,na
breitbarth_biogeosciences_2007_breitbarth_biogeosciences_2007,1_3,1,mono-pop-tdep,Fig 1b,n,trichodesmium ims-101,y,m,free,free,na,na,na,3 populations (experimental units) are identical and simultaneous replicates,0.128,300.11199999999997,38.66725207503773,1/kT(K),26.96199999999999,33.923,0.128,26.96199999999999,yes,trichodesmium,oscillatoriales,cyanophyceae,spatial,a,na
